"Show ID","Episode ID","Episode Title","Date","Total Time Listened","Plays","Unique Listeners","Unique Engaged Listeners"
"1590431276","1000730344807","S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR","20251001","271526","546","80","53"
"1590431276","1000730344807","S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR","20251101","20149","76","6","4"
"1590431276","1000730344807","S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR","20251201","7572","18","3","2"
"1590431276","1000730344807","S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR","20260101","9860","11","2","2"
"1590431276","1000730344807","S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR","20260201","11136","39","2","2"
"1590431276","1000538628154","S01 - Upoutávka","20211001","877","19","12","9"
"1590431276","1000538628154","S01 - Upoutávka","20211101","748","18","9","9"
"1590431276","1000538628154","S01 - Upoutávka","20220101","85","1","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20220301","263","4","3","3"
"1590431276","1000538628154","S01 - Upoutávka","20220501","340","5","4","4"
"1590431276","1000538628154","S01 - Upoutávka","20220601","149","4","2","2"
"1590431276","1000538628154","S01 - Upoutávka","20220701","8","1","1","0"
"1590431276","1000538628154","S01 - Upoutávka","20220801","85","1","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20221201","276","10","5","3"
"1590431276","1000538628154","S01 - Upoutávka","20230501","653","23","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20230901","211","3","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20231001","85","1","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20231101","134","2","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20231201","170","3","2","2"
"1590431276","1000538628154","S01 - Upoutávka","20240401","6","1","1","0"
"1590431276","1000538628154","S01 - Upoutávka","20240501","160","4","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20240601","19","2","1","0"
"1590431276","1000538628154","S01 - Upoutávka","20240901","8","1","1","0"
"1590431276","1000538628154","S01 - Upoutávka","20250501","85","1","1","1"
"1590431276","1000538628154","S01 - Upoutávka","20260401","77","1","1","1"
"1590431276","1000606019679","S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","20230301","51609","146","27","9"
"1590431276","1000606019679","S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","20230401","114510","190","31","25"
"1590431276","1000606019679","S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","20230501","23079","69","7","5"
"1590431276","1000606019679","S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","20230601","5643","91","1","1"
"1590431276","1000606019679","S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","20230701","2060","3","1","1"
"1590431276","1000606019679","S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","20230901","5361","8","2","1"
