Show Name,Episode ID,Episode GUID,Episode Number,Episode Title,Release Date,Duration,Unique Listeners,Unique Engaged Listeners,Plays,Average Consumption
"PodVocasem",1000765978026,"S15E01",1,"S15E01 - Tomáš Nováčik - Demo scéna, programování dispečinku a vyhazovy z práce",2026-05-04,4682,23,9,134,0.34367512954330187
"PodVocasem",1000761028894,"BonusOFFka1",NaN,"BonusOFFka #1 - Naše startup fails",2026-04-13,185,72,54,112,0.7463963963963964
"PodVocasem",1000758148043,"S14E06",6,"S14E06 - Jakub Šimek - GIS, laser scanning a IT v geodézii",2026-03-30,5157,75,53,607,0.6324865878094499
"PodVocasem",1000755504034,"S14E05",5,"S14E05 - Tomáš Jurásek - Event-driven systémy, ADRka a Architecture governance",2026-03-16,4840,102,69,613,0.6083151029006644
"PodVocasem",1000752393440,"S14E04",4,"S14E04 - Tomáš Trnka - OBT, Keboola a 30 miliard tokenů za měsíc v Carvagu (EAG)",2026-03-02,5676,107,81,732,0.7005361153372456
"PodVocasem",1000749915402,"S14E03",3,"S14E03 - Denisa Faltová - Jak aplikovat AI ve firmách",2026-02-16,4401,116,74,694,0.6595346668860526
"PodVocasem",1000747647319,"S14E02",2,"S14E02 - Martin Michálek - Rychlost webů",2026-02-02,5011,96,70,662,0.695085395463314
"PodVocasem",1000745691961,"S14E01",1,"S14E01 - Martin Vágner - Custom vývoj v Salesforce",2026-01-19,5107,79,55,459,0.5721930435515413
"PodVocasem",1000739071066,"S13E06",6,"S13E06 - Jiří Kosek - O legendární PHP knize a XML",2025-12-01,5779,110,90,846,0.7236483191492709
"PodVocasem",1000737036199,"S13E05",5,"S13E05 - Karel Svrček - Do nitra AI v aplikaci George",2025-11-17,5541,109,70,733,0.5743887517405695
"PodVocasem",1000734984653,"S13E04",4,"S13E04 - Honza Jaroměřský - Z třinecké extraligy do IT",2025-11-03,5503,83,61,509,0.6794716572997423
"PodVocasem",1000732592234,"S13E03",3,"S13E03 - Vojta Barta - QA v roce 2025",2025-10-20,5342,95,71,692,0.6546040316065341
"PodVocasem",1000730344807,"S13E02",2,"S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR",2025-10-06,5333,91,63,690,0.6598825888156471
"PodVocasem",1000727804344,"S13E01",1,"S13E01 - Honza Láznička - Data engineering v Billigence",2025-09-22,5613,99,62,542,0.524784635955133
"PodVocasem",1000717118190,"S12E06",6,"S12E06 - Tomáš Sušánka - Vývoj hardwarové peněženky v SatoshiLabs",2025-07-14,4800,112,80,660,0.6228255208333333
"PodVocasem",1000715077436,"S12E05",5,"S12E05 - Víťa Hubený - Od kódu k businessu",2025-06-30,5198,104,78,777,0.7068787551425104
"PodVocasem",1000713035366,"S12E04",4,"S12E04 - Jiří Dobrý a Daniel Pojhan - Když kód pomáhá",2025-06-16,5263,81,56,506,0.610589181872987
"PodVocasem",1000710808268,"S12E03",3,"S12E03 - Aleš Holan - Od budovaní Shellu k budování startupů",2025-06-02,4671,101,72,675,0.6792490424379625
"PodVocasem",1000708943290,"S12E02",2,"S12E02 - Matej Semančík - Kotlin multiplatform a vývoj na Androidu",2025-05-19,4933,93,67,576,0.6783631849580072
"PodVocasem",1000706308780,"S12E01",1,"S12E01 - Marcel Veselka - QA pomocí AI agentů ve Wopee.io",2025-05-05,5030,105,80,667,0.6742857142857143
"PodVocasem",1000702440694,"S11E06",6,"S11E06 - Martin Šafránek - Data Vault",2025-04-07,5543,103,66,569,0.5633537620264516
"PodVocasem",1000700545180,"S11E05",5,"S11E05 - Radek Teichmann - BFSI v MoroSystems",2025-03-24,5480,100,72,682,0.641720802919708
"PodVocasem",1000698537023,"S11E04",4,"S11E04 - Martin Hron - Od Battle AI v Mafii 2 k Security research v SentinelOne",2025-03-10,5605,100,73,686,0.6702016057091882
"PodVocasem",1000695432098,"S11E03",3,"S11E03 - Dan Falta - 3D design ve hrách",2025-02-24,5575,80,59,508,0.7121121076233184
