"name","plays","streams","audience_size","releaseDate"
"S15E01 - Tomáš Nováčik - Demo scéna, programování dispečinku a vyhazovy z práce","110","92","59","2026-05-04"
"BonusOFFka #1 - Naše startup fails","170","114","143","2026-04-13"
"S14E06 - Jakub Šimek - GIS, laser scanning a IT v geodézii","350","281","147","2026-03-30"
"S14E05 - Tomáš Jurásek - Event-driven systémy, ADRka a Architecture governance","532","410","207","2026-03-16"
"S14E04 - Tomáš Trnka - OBT, Keboola a 30 miliard tokenů za měsíc v Carvagu (EAG)","589","450","237","2026-03-02"
"S14E03 - Denisa Faltová - Jak aplikovat AI ve firmách","600","451","277","2026-02-16"
"S14E02 - Martin Michálek - Rychlost webů","650","487","259","2026-02-02"
"S14E01 - Martin Vágner - Custom vývoj v Salesforce","540","416","247","2026-01-19"
"S13E06 - Jiří Kosek - O legendární PHP knize a XML","790","624","288","2025-12-01"
"S13E05 - Karel Svrček - Do nitra AI v aplikaci George","808","624","321","2025-11-17"
"S13E04 - Honza Jaroměřský - Z třinecké extraligy do IT","514","399","233","2025-11-03"
"S13E03 - Vojta Barta - QA v roce 2025","768","589","305","2025-10-20"
"S13E02 - Jindřich Skeldal - Brány Skeldalu, herní business a simulace herce ve VR","685","517","294","2025-10-06"
"S13E01 - Honza Láznička - Data engineering v Billigence","837","621","366","2025-09-22"
"S12E06 - Tomáš Sušánka - Vývoj hardwarové peněženky v SatoshiLabs","809","600","363","2025-07-14"
"S12E05 - Víťa Hubený - Od kódu k businessu","895","669","328","2025-06-30"
"S12E04 - Jiří Dobrý a Daniel Pojhan - Když kód pomáhá","653","477","273","2025-06-16"
"S12E03 - Aleš Holan - Od budovaní Shellu k budování startupů","621","494","265","2025-06-02"
"S12E02 - Matej Semančík - Kotlin multiplatform a vývoj na Androidu","869","658","372","2025-05-19"
"S12E01 - Marcel Veselka - QA pomocí AI agentů ve Wopee.io","875","657","380","2025-05-05"
"S11E06 - Martin Šafránek - Data Vault","770","576","325","2025-04-07"
"S11E05 - Radek Teichmann - BFSI v MoroSystems","795","588","314","2025-03-24"
"S11E04 - Martin Hron - Od Battle AI v Mafii 2 k Security research v SentinelOne","842","643","312","2025-03-10"
"S11E03 - Dan Falta - 3D design ve hrách","736","568","282","2025-02-24"
"S11E02 - Filip Kinský - SmartGuide","763","571","303","2025-02-10"
"S11E01 - Jirka Mareš - SQL a Oracle","1176","944","460","2025-01-27"
"S10E06 - Šárka Kousalová - Employer branding a talent acquisition v IT","817","627","367","2024-11-25"
"S10E05 - Honza Jiroušek - Energostack","730","542","331","2024-11-11"
"S10E04 - Filip Pýrek - Serverless na AWS","851","674","373","2024-10-28"
"S10E03 - Riki Fridrich - Vývoj JavaScriptu za posledních 20 let","1151","907","469","2024-10-14"
"S10E02 - Tomáš Belák - Pohled do útrob Integray","605","435","257","2024-09-30"
"S10E01 - Honza Kuchař - Jak SW pomáhá při asistované reprodukci","614","477","276","2024-09-16"
"S09E06 - Tomáš Krátký - Data Lineage v Manta a exit do IBM","986","717","453","2024-07-01"
"S09E05 - Tomáš Sedláček - Dataddo","994","730","493","2024-06-17"
"S09E04 - Milan Piskla - Vývoj ve světě IoT a Embedded","944","691","424","2024-06-03"
"S09E03 - Libor Sionko - Z fotbalové reprezentace k Pythonu a Snowflake","1066","825","440","2024-05-20"
"S09E02 - Jakub Najberk - Implementace SAP v Automotive","841","624","369","2024-05-06"
"S09E01 - Vojta Tůma - Keboola","1175","913","449","2024-04-22"
"S08E06 - Dušan Vystrčil - LLMs a GenAI v DataSentics","1045","764","456","2024-03-11"
"S08E05 - Karel Matějka - Herní vývoj v Unity, pixelart a Bzzzt","856","661","363","2024-02-26"
"S08E04 - Honza Difko - Datový deepdive do České Spořitelny","1111","846","435","2024-02-12"
"S08E03 - Ivo Musil - IT Security v roce 2024","960","753","379","2024-01-29"
"S08E02 - Martin Děcký - Microkernel OS","754","551","301","2024-01-15"
"S08E01 - Ondřej Šika - DevOps","1211","948","454","2024-01-01"
"S07 - Bloopers aneb co se nepovedlo","331","227","234","2023-12-21"
"S07E06 - Tomáš Grošup - Cesta z fintechu do compiler týmu v Microsoftu","844","645","356","2023-11-13"
"S07E05 - Michal Sänger - BTC, Typescript a GraphQL v Trezor.io","880","694","369","2023-10-30"
"S07E04 - Michal Těhník - 8 let v Productboardu","817","607","334","2023-10-16"
"S07E03 - Tomáš Blaho - O Mafii, Warhorse Studios, programování grafiky v AAA titulech a pekle herních enginů","1273","1029","425","2023-10-02"
"S07E02 - Marcel Šerý - Cesta low-code startupu Jetveo","606","454","290","2023-09-18"
"S07E01 - Antonín Kučera - Data v Livesport","795","621","331","2023-09-04"
"S06E06 - Jan Novotný - Java, jOpenSpace a EvitaDB","823","608","354","2023-06-26"
"S06E05 - Michal Hošna - Livestreaming v CDN77","855","646","376","2023-06-12"
"S06E04 - Tomáš Metz - Engineering v České Spořitelně","1139","900","459","2023-05-29"
"S06E03 - Tomáš Muchka - Developer Experience v GoodData","749","536","345","2023-05-15"
"S06E02 - Filip Dvořák - Inteligentní automatizace s Filuta.ai","690","498","305","2023-05-01"
"S06E01 - Michal Augustýn - Programátorský pokec o Avastu (a špetka hejtu na Scalu)","882","608","373","2023-04-17"
"S05E06 - Michal Halenka - Vaříme datový bujón v DataSentics","837","529","322","2023-03-27"
"S05E05 - Petr Polák - Z výpočetního střediska Chemopetrolu do top managementu CGI","892","619","405","2023-03-13"
"S05E04 - Tomáš Mikolov - Word2Vec, neuronové sítě a pravda o práci v Silicon Valley","1588","1289","543","2023-02-27"
"S05E03 - Radim Čebiš - Engineering ve Vendavu","617","438","256","2023-02-13"
"S05E02 - Tomáš Petříček - Microsoft Research, Alan Turing Institute, design programovacích jazyků a F#","684","508","262","2023-01-30"
"S05E01 - Martin Procházka - Performance .NET aplikací","630","481","260","2023-01-16"
"S04E06 - Aleš Lednej - Black Bison Tech a Salesforce","445","335","190","2022-12-05"
"S04E05 - Jirka Pénzeš - Startup Studio","518","403","188","2022-11-21"
"S04E04 - Ondřej Pelech - Scala","520","410","206","2022-11-07"
"S04E03 - Lukáš Rychtecký - Koncept svobodné firmy v Applifting","605","484","240","2022-10-24"
"S04E02 - David Pícha - Od boje s organizovaným zločinem k programování","524","426","237","2022-10-10"
"S04E01 - Dominik Moštěk - Funkcionální programování v Javě a role ""hostujícího profesora"" v Ataccama","548","424","233","2022-09-26"
"S03E06 - Cyril Sahula - Artificial Intelligence v recruitmentu, Azure Cloud a Kotlin v Jobno.one","682","508","275","2022-06-20"
"S03E05 - Jakub Kašpar - UX, Dark Patterns a Design Sprint","606","460","289","2022-06-06"
"S03E04 - Jakub Veverka - Docker, Kubernetes a OpenShift","1168","940","470","2022-05-23"
"S03E03 - Vojtěch Mádr - Xamarin a personalizovaná videa v Motionlab","300","221","149","2022-05-09"
"S03E02 - Radim Špetlík - Computer Vision a visionPigeon","359","278","162","2022-04-25"
"S03E01 - Milan Borůvka - Tech stack v PriceFx","531","397","223","2022-04-12"
"S02E06 - Honza Vrubel - Data Engineering v DHL","460","369","227","2022-03-28"
"S02E05 - Aleš Roubíček - Clojure","386","316","186","2022-03-14"
"S02E04 - Luboš Hradecký - Web Accessibility","334","247","170","2022-02-28"
"S02E03 - Zdeněk Merta - Event Sourcing, CQRS a Domain Driven Design","760","568","285","2022-02-14"
"S02E02 - Borek Bernard - Monorepo, Multirepo, VersionPress a Shoptet","546","439","240","2022-01-31"
"S02E01 - Aleš Krutina - Jablotron, senzory a hardware obecně","603","473","250","2022-01-17"
"S01E06 - Lukáš Svoboda - CSS v roce 2022","398","303","194","2022-01-03"
"S01E05 - Jaroslav Holaň a David Ryšánek - Confer-O-Matic","286","203","139","2021-12-20"
"S01E04 - Lucie Nová - Na hraně mezi Dev a QA","586","458","262","2021-12-06"
"S01E03 - Richard Vlas - Machine Learning a Artificial Intelligence","524","424","273","2021-11-22"
"S01E02 - Tomáš Látal - Elm","436","333","216","2021-11-08"
"S01E01 - Tomáš Horáček - SwiftUI a mobilní vývoj","721","532","378","2021-10-25"
"S01 - Upoutávka","436","198","290","2021-10-13"
